D,SLV_EN_O_05,RGG_EN_S_01,MOB_EN_G_03,SLV_EN_F_06,RGG_EN_C_06,MOB_EN_C_05,SLV_EN_F_04,MOB_EN_G_01,MOB_EN_C_06,MEE_EN_F_07,LOG_EN_S_06,TES_EN_C_04,,,5,RGG_EN_C_04,BOU_EN_C_01,TES_EN_M_06,RGG_EN_C_06,TES_EN_N_07,SNM_EN_M_06,SLV_EN_M_05,TRE_EN_F_04
E,REN_EN_H_02,TRQ_EN_F_04,TES_EN_S_07,MEE_EN_F_05,TES_EN_N_07,TRQ_EN_F_01,PAS_EN_X_05,TES_EN_C_05,SLV_EN_O_06,MOB_EN_C_03,TES_EN_S_06,MEE_EN_F_03,,,6,TRQ_EN_F_07,MAL_EN_M_03,TRE_EN_F_06,MOB_EN_C_05,TRQ_EN_F_01,RGG_EN_C_02,RGG_EN_C_01,TES_EN_N_05
F,DRY_EN_N_07,TES_EN_S_04,TES_EN_N_01,DRY_EN_N_05,SNM_EN_M_06,RGG_EN_C_02,MEE_EN_F_02,MEE_EN_F_04,LIM_EN_F_02,SLV_EN_O_07,SLV_EN_F_02,GUN_EN_F_03,,,7,RGG_EN_C_05,BOU_EN_S_03,LIM_EN_F_04,SLV_EN_F_04,PAS_EN_X_05,MEE_EN_F_02,MOB_EN_G_02,MAL_EN_C_07
G,GUN_EN_F_01,RGG_EN_C_07,MOB_EN_S_04,MAL_EN_M_06,SLV_EN_M_05,RGG_EN_C_01,MOB_EN_G_02,MAL_EN_C_03,TES_EN_N_03,MAL_EN_C_06,MEE_EN_F_06,PAS_EN_X_02,,,8,MAL_EN_M_07,TRE_EN_F_05,ABQ_EN_S_02,MOB_EN_G_01,TES_EN_C_05,MEE_EN_F_04,MAL_EN_C_03,TRE_EN_F_03
H,REN_EN_S_07,MOB_EN_G_05,BRG_EN_F_01,MOB_EN_S_03,TRE_EN_F_04,TES_EN_N_05,MAL_EN_C_07,TRE_EN_F_03,MOB_EN_S_02,LOG_EN_S_05,LIM_EN_F_01,RGG_EN_C_03,,,9,TES_EN_S_03,TES_EN_S_05,SLV_EN_O_02,MOB_EN_C_06,SLV_EN_O_06,LIM_EN_F_02,TES_EN_N_03,MOB_EN_S_02
,,,,,,,,,,,,,,,10,BOU_EN_S_01,RGG_EN_S_03,TRE_EN_F_07,MEE_EN_F_07,MOB_EN_C_03,SLV_EN_O_07,MAL_EN_C_06,LOG_EN_S_05
,,,,,,,,,,,,,,,11,REN_EN_H_07,LOG_EN_S_02,SNM_EN_M_04,LOG_EN_S_06,TES_EN_S_06,SLV_EN_F_02,MEE_EN_F_06,LIM_EN_F_01
,,,,,,,,,,,,,,,12,TES_EN_C_07,ABQ_EN_S_06,PAS_EN_X_06,TES_EN_C_04,MEE_EN_F_03,GUN_EN_F_03,PAS_EN_X_02,RGG_EN_C_03
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date loaded: 9.26.22,,,,Plate Name: Plant 3,,,,,,,,,,,,A,B,C,D,E,F,G,H
,1,2,3,4,5,6,7,8,9,10,11,12,,,1,REN_EN_H_04,TES_EN_S_01,PAS_EN_X_04,MAL_EN_C_01,BRG_EN_F_03,TRE_EN_F_02,,
A,REN_EN_H_04,EUR_02_S_01,EUR_07_C_01,EUR_15_S_02,,,,,,,,,,,2,EUR_02_S_01,EUR_02_S_02,EUR_02_S_03,EUR_04_S_01,EUR_04_S_02,EUR_04_S_03,EUR_05_S_01,EUR_05_S_02
B,TES_EN_S_01,EUR_02_S_02,EUR_07_C_02,EUR_15_S_03,,,,,,,,,,,3,EUR_07_C_01,EUR_07_C_02,EUR_09_C_01,EUR_09_C_02,EUR_09_C_03,EUR_10_C_01,EUR_10_C_02,EUR_15_S_01
C,PAS_EN_X_04,EUR_02_S_03,EUR_09_C_01,EUR_05_S_03,,,,,,,,,,,4,EUR_15_S_02,EUR_15_S_03,EUR_05_S_03,EUR_07_C_03,EUR_10_C_03,,,
D,MAL_EN_C_01,EUR_04_S_01,EUR_09_C_02,EUR_07_C_03,,,,,,,,,,,5,,,,,,,,
E,BRG_EN_F_03,EUR_04_S_02,EUR_09_C_03,EUR_10_C_03,,,,,,,,,,,6,,,,,,,,
F,TRE_EN_F_02,EUR_04_S_03,EUR_10_C_01,,,,,,,,,,,,7,,,,,,,,
G,,EUR_05_S_01,EUR_10_C_02,,,,,,,,,,,,8,,,,,,,,
H,,EUR_05_S_02,EUR_15_S_01,,,,,,,,,,,,9,,,,,,,,
,,,,,,,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,12,,,,,,,,
